circuitId,alt,fastestLapSpeed
1,10,236.740
2,18,212.104
3,7,230.214
4,109,220.213
5,130,226.693
6,7,89.540
7,13,214.833
8,228,210.669
9,153,243.494
10,103,223.182
11,264,205.823
12,4,197.687
13,401,238.931
14,162,257.320
15,18,178.860
16,583,209.456
17,5,212.749
18,785,219.909
19,223,214.366
20,578,91.610
21,37,234.121
22,45,229.770
24,3,220.800
32,2227,199.223
34,432,226.775
35,0,202.941
39,6,215.654
68,194,211.463
69,161,206.374
70,678,236.894
71,2,219.847
73,-7,209.795
75,108,212.708
76,255,239.518
77,15,244.962
