year,team_name,engine_manufacturer
2010,McLaren,Mercedes
2010,Mercedes,Mercedes
2010,Red Bull,Renault
2010,Ferrari,Ferrari
2010,Williams,Cosworth
2010,Renault,Renault
2010,Force India,Mercedes
2010,Toro Rosso,Ferrari
2010,Lotus,Cosworth
2010,HRT,Cosworth
2010,Sauber,Ferrari
2010,Virgin,Cosworth
2011,Red Bull,Renault
2011,McLaren,Mercedes
2011,Ferrari,Ferrari
2011,Mercedes,Mercedes
2011,Renault,Renault
2011,Williams,Cosworth
2011,Force India,Mercedes
2011,Sauber,Ferrari
2011,Toro Rosso,Ferrari
2011,Lotus,Renault
2011,HRT,Cosworth
2011,Marussia,Cosworth
2012,Red Bull,Renault
2012,McLaren,Mercedes
2012,Ferrari,Ferrari
2012,Mercedes,Mercedes
2012,Lotus,Renault
2012,Force India,Mercedes
2012,Sauber,Ferrari
2012,Toro Rosso,Ferrari
2012,Williams,Renault
2012,Caterham,Renault
2012,HRT,Cosworth
2012,Marussia,Cosworth
2013,Red Bull,Renault
2013,Ferrari,Ferrari
2013,McLaren,Mercedes
2013,Lotus,Renault
2013,Mercedes,Mercedes
2013,Sauber,Ferrari
2013,Force India,Mercedes
2013,Williams,Renault
2013,Toro Rosso,Ferrari
2013,Caterham,Renault
2013,Marussia,Cosworth
2014,Red Bull,Renault
2014,Mercedes,Mercedes
2014,Ferrari,Ferrari
2014,Lotus,Renault
2014,McLaren,Mercedes
2014,Force India,Mercedes
2014,Sauber,Ferrari
2014,Toro Rosso,Renault
2014,Williams,Mercedes
2014,Marussia,Ferrari
2014,Caterham,Renault
2015,Mercedes,Mercedes
2015,Red Bull,Renault
2015,Williams,Mercedes
2015,Ferrari,Ferrari
2015,McLaren,Honda
2015,Force India,Mercedes
2015,Toro Rosso,Renault
2015,Lotus,Mercedes
2015,Sauber,Ferrari
2015,Manor Marussia,Ferrari
2016,Mercedes,Mercedes
2016,Ferrari,Ferrari
2016,Williams,Mercedes
2016,Red Bull,Renault
2016,Force India,Mercedes
2016,Renault,Renault
2016,Toro Rosso,Ferrari
2016,Sauber,Ferrari
2016,McLaren,Honda
2016,Manor Marussia,Mercedes
2016,Haas F1 Team,Ferrari
2017,Mercedes,Mercedes
2017,Red Bull,Renault
2017,Ferrari,Ferrari
2017,Force India,Mercedes
2017,Williams,Mercedes
2017,McLaren,Honda
2017,Toro Rosso,Renault
2017,Haas F1 Team,Ferrari
2017,Renault,Renault
2017,Sauber,Ferrari
2018,Mercedes,Mercedes
2018,Red Bull,Renault
2018,Ferrari,Ferrari
2018,Force India,Mercedes
2018,Williams,Mercedes
2018,McLaren,Renault
2018,Toro Rosso,Honda
2018,Haas F1 Team,Ferrari
2018,Renault,Renault
2018,Sauber,Alfa Romeo
2019,Mercedes,Mercedes
2019,Ferrari,Ferrari
2019,Red Bull,Honda
2019,Renault,Renault
2019,Haas F1 Team,Ferrari
2019,McLaren,Renault
2019,Racing Point,Mercedes
2019,Alfa Romeo,Ferrari
2019,Toro Rosso,Honda
2019,Williams,Mercedes
2020,Mercedes,Mercedes
2020,Ferrari,Ferrari
2020,Red Bull,Honda
2020,McLaren,Renault
2020,Renault,Renault
2020,AlphaTauri,Honda
2020,Racing Point,Mercedes
2020,Alfa Romeo,Ferrari
2020,Haas F1 Team,Ferrari
2020,Williams,Mercedes
