,year,constructorId,engine_manufacturer
0,2010,1,Mercedes
1,2010,131,Mercedes
2,2010,9,Renault
3,2010,6,Ferrari
4,2010,3,Cosworth
5,2010,4,Renault
6,2010,10,Mercedes
7,2010,5,Ferrari
8,2010,205,Cosworth
9,2010,164,Cosworth
10,2010,15,Ferrari
11,2010,166,Cosworth
12,2011,9,Renault
13,2011,1,Mercedes
14,2011,6,Ferrari
15,2011,131,Mercedes
16,2011,4,Renault
17,2011,3,Cosworth
18,2011,10,Mercedes
19,2011,15,Ferrari
20,2011,5,Ferrari
21,2011,205,Renault
22,2011,164,Cosworth
23,2011,206,Cosworth
24,2012,9,Renault
25,2012,1,Mercedes
26,2012,6,Ferrari
27,2012,131,Mercedes
28,2012,205,Renault
29,2012,10,Mercedes
30,2012,15,Ferrari
31,2012,5,Ferrari
32,2012,3,Renault
33,2012,207,Renault
34,2012,164,Cosworth
35,2012,206,Cosworth
36,2013,9,Renault
37,2013,6,Ferrari
38,2013,1,Mercedes
39,2013,205,Renault
40,2013,131,Mercedes
41,2013,15,Ferrari
42,2013,10,Mercedes
43,2013,3,Renault
44,2013,5,Ferrari
45,2013,207,Renault
46,2013,206,Cosworth
47,2014,9,Renault
48,2014,131,Mercedes
49,2014,6,Ferrari
50,2014,205,Renault
51,2014,1,Mercedes
52,2014,10,Mercedes
53,2014,15,Ferrari
54,2014,5,Renault
55,2014,3,Mercedes
56,2014,206,Ferrari
57,2014,207,Renault
58,2015,131,Mercedes
59,2015,9,Renault
60,2015,3,Mercedes
61,2015,6,Ferrari
62,2015,1,Honda
63,2015,10,Mercedes
64,2015,5,Renault
65,2015,205,Mercedes
66,2015,15,Ferrari
67,2015,209,Ferrari
68,2016,131,Mercedes
69,2016,6,Ferrari
70,2016,3,Mercedes
71,2016,9,Renault
72,2016,10,Mercedes
73,2016,4,Renault
74,2016,5,Ferrari
75,2016,15,Ferrari
76,2016,1,Honda
77,2016,209,Mercedes
78,2016,210,Ferrari
79,2017,131,Mercedes
80,2017,9,Renault
81,2017,6,Ferrari
82,2017,10,Mercedes
83,2017,3,Mercedes
84,2017,1,Honda
85,2017,5,Renault
86,2017,210,Ferrari
87,2017,4,Renault
88,2017,15,Ferrari
89,2018,131,Mercedes
90,2018,9,Renault
91,2018,6,Ferrari
92,2018,10,Mercedes
93,2018,3,Mercedes
94,2018,1,Renault
95,2018,5,Honda
96,2018,210,Ferrari
97,2018,4,Renault
98,2018,15,Alfa Romeo
99,2019,131,Mercedes
100,2019,6,Ferrari
101,2019,9,Honda
102,2019,4,Renault
103,2019,210,Ferrari
104,2019,1,Renault
105,2019,211,Mercedes
106,2019,51,Ferrari
107,2019,5,Honda
108,2019,3,Mercedes
109,2020,131,Mercedes
110,2020,6,Ferrari
111,2020,9,Honda
112,2020,1,Renault
113,2020,4,Renault
114,2020,213,Honda
115,2020,211,Mercedes
116,2020,51,Ferrari
117,2020,210,Ferrari
118,2020,3,Mercedes
