raceId,name,year,forename,surname,stop
841,Australian Grand Prix,2011,Sebastian,Vettel,2
842,Malaysian Grand Prix,2011,Sebastian,Vettel,3
843,Chinese Grand Prix,2011,Lewis,Hamilton,3
844,Turkish Grand Prix,2011,Sebastian,Vettel,4
845,Spanish Grand Prix,2011,Sebastian,Vettel,4
846,Monaco Grand Prix,2011,Sebastian,Vettel,1
847,Canadian Grand Prix,2011,Jenson,Button,6
848,European Grand Prix,2011,Sebastian,Vettel,3
849,British Grand Prix,2011,Fernando,Alonso,3
850,German Grand Prix,2011,Lewis,Hamilton,3
851,Hungarian Grand Prix,2011,Jenson,Button,3
852,Belgian Grand Prix,2011,Sebastian,Vettel,3
853,Italian Grand Prix,2011,Sebastian,Vettel,2
854,Singapore Grand Prix,2011,Sebastian,Vettel,3
855,Japanese Grand Prix,2011,Jenson,Button,3
856,Korean Grand Prix,2011,Sebastian,Vettel,2
857,Indian Grand Prix,2011,Sebastian,Vettel,2
858,Abu Dhabi Grand Prix,2011,Lewis,Hamilton,2
859,Brazilian Grand Prix,2011,Mark,Webber,3
860,Australian Grand Prix,2012,Jenson,Button,2
861,Malaysian Grand Prix,2012,Fernando,Alonso,3
862,Chinese Grand Prix,2012,Nico,Rosberg,2
863,Bahrain Grand Prix,2012,Sebastian,Vettel,3
864,Spanish Grand Prix,2012,Pastor,Maldonado,3
865,Monaco Grand Prix,2012,Mark,Webber,1
866,Canadian Grand Prix,2012,Lewis,Hamilton,2
867,European Grand Prix,2012,Fernando,Alonso,2
868,British Grand Prix,2012,Mark,Webber,2
869,German Grand Prix,2012,Fernando,Alonso,2
870,Hungarian Grand Prix,2012,Lewis,Hamilton,2
871,Belgian Grand Prix,2012,Jenson,Button,1
872,Italian Grand Prix,2012,Lewis,Hamilton,1
873,Singapore Grand Prix,2012,Sebastian,Vettel,2
874,Japanese Grand Prix,2012,Sebastian,Vettel,2
875,Korean Grand Prix,2012,Sebastian,Vettel,2
876,Indian Grand Prix,2012,Sebastian,Vettel,1
877,Abu Dhabi Grand Prix,2012,Kimi,Räikkönen,1
878,United States Grand Prix,2012,Lewis,Hamilton,1
879,Brazilian Grand Prix,2012,Jenson,Button,2
880,Australian Grand Prix,2013,Kimi,Räikkönen,2
881,Malaysian Grand Prix,2013,Sebastian,Vettel,4
882,Chinese Grand Prix,2013,Fernando,Alonso,3
883,Bahrain Grand Prix,2013,Sebastian,Vettel,3
884,Spanish Grand Prix,2013,Fernando,Alonso,4
885,Monaco Grand Prix,2013,Nico,Rosberg,1
886,Canadian Grand Prix,2013,Sebastian,Vettel,2
887,British Grand Prix,2013,Nico,Rosberg,3
888,German Grand Prix,2013,Sebastian,Vettel,3
890,Hungarian Grand Prix,2013,Lewis,Hamilton,3
891,Belgian Grand Prix,2013,Sebastian,Vettel,2
892,Italian Grand Prix,2013,Sebastian,Vettel,1
893,Singapore Grand Prix,2013,Sebastian,Vettel,2
894,Korean Grand Prix,2013,Sebastian,Vettel,2
895,Japanese Grand Prix,2013,Sebastian,Vettel,2
896,Indian Grand Prix,2013,Sebastian,Vettel,2
897,Abu Dhabi Grand Prix,2013,Sebastian,Vettel,2
898,United States Grand Prix,2013,Sebastian,Vettel,1
899,Brazilian Grand Prix,2013,Sebastian,Vettel,2
900,Australian Grand Prix,2014,Nico,Rosberg,2
901,Malaysian Grand Prix,2014,Lewis,Hamilton,3
902,Bahrain Grand Prix,2014,Lewis,Hamilton,2
903,Chinese Grand Prix,2014,Lewis,Hamilton,2
904,Spanish Grand Prix,2014,Lewis,Hamilton,2
905,Monaco Grand Prix,2014,Nico,Rosberg,1
906,Canadian Grand Prix,2014,Daniel,Ricciardo,2
907,Austrian Grand Prix,2014,Nico,Rosberg,2
908,British Grand Prix,2014,Lewis,Hamilton,2
909,German Grand Prix,2014,Nico,Rosberg,2
910,Hungarian Grand Prix,2014,Daniel,Ricciardo,3
911,Belgian Grand Prix,2014,Daniel,Ricciardo,2
912,Italian Grand Prix,2014,Lewis,Hamilton,1
913,Singapore Grand Prix,2014,Lewis,Hamilton,3
